telemetry_sequence,stm32_tick_ms,vision_frame_id,ball_x_px,error_px,velocity_px_s,p_term_us,i_term_us,d_term_us,control_offset_us,servo_target_us,servo_current_us,guard_state,measurement_status,control_flags,motion_state,motion_flags,motion_link_valid,acc_track_mg,yaw_rate_dps,vibration_level_mg,line_error,left_speed,right_speed,turn_command,motion_sequence,motion_age_ms,lost_grace,lost_age_ms,lost_recovery,pid_sum_raw_us,pid_sum_directed_us,acc_filtered_mg,af_raw_us,af_clamped_us,af_slewed_us,yaw_raw_dps,speed_average,speed_scale_x1000,yf_raw_us,yf_clamped_us,yf_slewed_us,hold_pwm_effective_us,feedforward_total_us,servo_prelimit_us,servo_flags,motion_bias_active_us,turn_scale,yaw_handover,turn_preview_raw_us,turn_preview_slewed_us
97,1962,0,0,0,0,0,0,0,0,1305,1305,0,255,65,0,0,0,0,0.0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1305,0,1305,0,0,0.0,0.0,0,0
100,2022,0,0,0,0,0,0,0,0,1305,1305,0,255,65,0,0,0,0,0.0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1305,0,1305,0,0,0.0,0.0,0,0
101,2042,0,0,0,0,0,0,0,0,1305,1305,0,255,65,0,0,0,0,0.0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1305,0,1305,0,0,0.0,0.0,0,0
102,2062,0,0,0,0,0,0,0,0,1305,1305,0,255,65,0,0,0,0,0.0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1305,0,1305,0,0,0.0,0.0,0,0
103,2082,0,0,0,0,0,0,0,0,1305,1305,0,255,65,0,0,0,0,0.0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1305,0,1305,0,0,0.0,0.0,0,0
104,2102,0,0,0,0,0,0,0,0,1305,1305,0,255,65,0,0,0,0,0.0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1305,0,1305,0,0,0.0,0.0,0,0
105,2122,0,0,0,0,0,0,0,0,1305,1305,0,255,65,0,0,0,0,0.0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1305,0,1305,0,0,0.0,0.0,0,0
106,2142,0,0,0,0,0,0,0,0,1305,1305,0,255,65,0,0,0,0,0.0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1305,0,1305,0,0,0.0,0.0,0,0
107,2162,0,0,0,0,0,0,0,0,1305,1305,0,255,65,0,0,0,0,0.0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1305,0,1305,0,0,0.0,0.0,0,0
108,2182,0,0,0,0,0,0,0,0,1305,1305,0,255,65,0,0,0,0,0.0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1305,0,1305,0,0,0.0,0.0,0,0
